AirportID,Year,Month,Day,Time,TimeZone,SkyCondition,Visibility,WeatherType,DryBulbFarenheit,DryBulbCelsius,WetBulbFarenheit,WetBulbCelsius,DewPointFarenheit,DewPointCelsius,RelativeHumidity,WindSpeed,WindDirection,ValueForWindCharacter,StationPressure,PressureTendency,PressureChange,SeaLevelPressure,RecordType,HourlyPrecip,Altimeter,__index_level_0__
14524,2013,8,8,931,-5,SCT020 BKN095 BKN130,10.0,,82.0,28.0,76.0,24.3,73.0,23.0,74.0,7.0,200,,29.89,,,,SP,,30.07,0
14730,2013,6,13,2056,-5,CLR,10.0,,74.0,23.3,61.0,16.2,52.0,11.1,46.0,13.0,340,,29.39,,,29.91,AA,,29.92,1
12451,2013,6,11,1056,-5,SCT031 BKN150 OVC250,10.0,,86.0,30.0,76.0,24.6,72.0,22.2,63.0,6.0,280,,30.04,,,30.09,AA,,30.08,2
11697,2013,9,23,953,-5,FEW025 SCT090,10.0,,85.0,29.4,78.0,25.5,75.0,23.9,72.0,3.0,VR ,,29.93,,,29.94,AA,,29.94,3
11259,2013,6,6,653,-6,SCT012 SCT028 BKN110,10.0,,72.0,22.2,69.0,20.7,68.0,20.0,87.0,7.0,080,,29.38,,,29.87,AA,0.01,29.9,4
14771,2013,7,9,1556,-8,FEW007,10.0,,66.0,18.9,58.0,14.2,51.0,10.6,59.0,24.0,290,30.0,29.94,,,29.96,SY-MT,,29.96,5
15376,2013,5,19,1153,-7,CLR,10.0,,85.0,29.4,57.0,14.1,33.0,0.6,15.0,5.0,270,,27.27,,,29.8,AA,,29.94,6
10693,2013,5,17,853,-6,FEW028 SCT043 OVC050,7.0,-RA,65.0,18.3,63.0,17.3,62.0,16.7,90.0,7.0,170,,29.42,,,30.06,AA,0.05,30.07,7
13796,2013,6,8,853,-8,CLR,10.0,,70.0,21.1,63.0,17.4,59.0,15.0,68.0,7.0,290,,29.67,,,29.76,AA,,29.76,8
11042,2013,8,6,551,-5,FEW075 BKN090 BKN110,10.0,,64.0,17.8,59.0,14.9,55.0,12.8,73.0,7.0,160,,29.16,,,30.01,AA,T,30.02,9
12264,2013,4,23,1352,-5,BKN030,10.0,,55.0,12.8,48.0,8.7,40.0,4.4,57.0,3.0,VR ,,29.89,,,30.24,AA,,30.24,10
13931,2013,5,18,251,-5,FEW070 OVC100,10.0,,66.0,18.9,60.0,15.3,55.0,12.8,68.0,0.0,000,,30.11,,,30.14,AA,,30.14,11
14771,2013,6,30,56,-8,CLR,10.0,,61.0,16.1,57.0,13.6,53.0,11.7,75.0,14.0,290,,29.82,,,29.84,AA,,29.84,12
14679,2013,9,1,1951,-8,FEW006 SCT150 BKN220,10.0,,72.0,22.2,69.0,20.4,67.0,19.4,84.0,6.0,300,,29.88,,,29.91,AA,,29.91,13
12191,2013,6,10,253,-6,FEW120 SCT250,10.0,,73.0,22.8,71.0,21.6,70.0,21.1,90.0,0.0,000,,29.89,,,29.96,AA,,29.94,14
11042,2013,6,25,2227,-5,BKN030CB BKN050CB OVC070,4.0,-TSRA,69.0,20.6,66.0,18.8,64.0,17.8,84.0,6.0,260,,29.06,,,,SP,,29.92,15
13244,2013,10,1,754,-6,BKN009 OVC070,10.0,,71.0,21.7,68.0,20.2,67.0,19.4,87.0,9.0,180,,29.7,,,30.04,AA,,30.06,16
14122,2013,10,10,2251,-5,FEW080 BKN130 OVC220,10.0,,59.0,15.0,52.0,10.9,45.0,7.2,60.0,6.0,090,,28.81,,,30.11,AA,,30.1,17
14747,2013,9,7,53,-8,FEW007 SCT020 BKN110,10.0,,63.0,17.2,60.0,15.6,58.0,14.4,84.0,3.0,180,,29.65,,,30.13,AA,,30.12,18
14100,2013,10,9,1054,-5,FEW025 SCT033 BKN140,10.0,,60.0,15.6,53.0,11.7,47.0,8.3,62.0,11.0,050,21.0,30.32,,,30.34,AA,,30.35,19
11057,2013,4,19,452,-5,BKN013 OVC250,10.0,,66.0,18.9,64.0,17.8,63.0,17.2,90.0,17.0,190,22.0,29.08,,,29.88,AA,,29.9,20
13930,2013,7,18,1051,-6,BKN047,10.0,,91.0,32.8,77.0,24.9,71.0,21.7,52.0,7.0,VR ,,29.39,,,30.09,AA,,30.11,21
14524,2013,4,27,454,-5,OVC170,10.0,,50.0,10.0,47.0,8.1,43.0,6.1,77.0,0.0,000,,30.2,,,30.4,AA,,30.38,22
13795,2013,6,16,1055,-5,CLR,10.0,,82.0,28.0,70.0,21.2,64.0,18.0,55.0,15.0,200,18.0,30.04,,,,AA,,30.14,23
11259,2013,4,5,1053,-6,FEW250,10.0,,61.0,16.1,51.0,10.5,41.0,5.0,48.0,3.0,VR ,,29.71,,,30.23,AA,,30.24,24
13930,2013,4,25,719,-6,SCT025 BKN032,10.0,,43.0,6.0,39.0,3.9,34.0,1.0,71.0,17.0,290,,29.38,,,,SP,,30.1,25
14843,2013,5,22,756,-4,SCT018 SCT032 BKN070,10.0,-RA,77.0,25.0,76.0,24.2,75.0,23.9,94.0,11.0,080,,30.0,,,30.01,AA,0.09,30.01,26
14893,2013,6,27,453,-8,CLR,10.0,,63.0,17.2,61.0,16.2,60.0,15.6,90.0,7.0,160,,29.98,,,30.01,AA,,30.01,27
13232,2013,8,19,851,-6,CLR,10.0,,78.0,25.6,65.0,18.1,56.0,13.3,47.0,0.0,000,,29.47,,,30.1,AA,,30.13,28
10721,2013,7,29,804,-5,FEW006 BKN010 BKN023,5.0,BR,72.0,22.0,69.0,20.7,68.0,20.0,87.0,3.0,100,,29.99,,,,SP,,30.02,29
11278,2013,8,21,1352,-5,SCT045TCU OVC250,10.0,,87.0,30.6,75.0,24.0,70.0,21.1,57.0,11.0,170,,30.07,,,30.14,AA,,30.14,30
13244,2013,4,1,454,-6,CLR,10.0,,46.0,7.8,45.0,7.2,44.0,6.7,93.0,0.0,000,,29.63,,,29.98,AA,,29.99,31
11278,2013,6,28,552,-5,SCT100 BKN250,10.0,,74.0,23.3,70.0,21.1,68.0,20.0,82.0,0.0,000,,29.55,,,29.61,AA,,29.62,32
14908,2013,5,30,2053,-8,FEW012,10.0,,64.0,17.8,60.0,15.5,57.0,13.9,78.0,8.0,180,,29.82,,,29.88,AA,,29.88,33
15304,2013,6,13,153,-5,SCT300,10.0,,79.0,26.1,76.0,24.1,74.0,23.3,85.0,0.0,000,,30.01,,,30.02,AA,,30.02,34
11259,2013,7,19,1653,-6,SCT110 BKN140 BKN250,10.0,,83.0,28.3,77.0,24.8,74.0,23.3,74.0,9.0,120,,29.41,,,29.91,AA,T,29.93,35
11057,2013,4,4,652,-5,OVC085,10.0,,45.0,7.2,36.0,2.1,21.0,-6.1,39.0,11.0,040,,29.44,3.0,11.0,30.27,AA,T,30.27,36
12478,2013,9,16,351,-5,BKN100 BKN250,10.0,,63.0,17.2,60.0,15.3,57.0,13.9,81.0,9.0,220,,30.03,,,30.06,AA,,30.06,37
14100,2013,10,17,50,-5,BKN009 BKN018 OVC030,9.0,,63.0,17.0,61.0,15.9,59.0,15.0,87.0,6.0,190,,29.9,,,,SP,,29.93,38
11278,2013,4,12,640,-5,BKN005 OVC016,2.0,RA BR,55.0,13.0,54.0,12.4,54.0,12.0,96.0,7.0,100,,29.63,,,,SP,,29.7,39
13830,2013,9,12,854,-10,FEW025 SCT045,10.0,,83.0,28.3,78.0,25.5,76.0,24.4,80.0,11.0,360,,29.97,,,30.03,AA,,30.02,40
14107,2013,7,4,1551,-7,FEW170 FEW210,10.0,,108.0,42.2,72.0,22.2,53.0,11.7,16.0,16.0,290,,28.48,,,29.58,AA,,29.65,41
14730,2013,6,20,556,-5,FEW250,10.0,,69.0,20.6,63.0,17.2,59.0,15.0,71.0,0.0,000,,29.63,,,30.14,AA,,30.16,42
13495,2013,10,10,1953,-6,FEW035,10.0,,74.0,23.3,71.0,21.5,69.0,20.6,84.0,5.0,130,,29.99,,,30.02,AA,,30.01,43
15376,2013,4,25,353,-7,CLR,10.0,,73.0,22.8,51.0,10.3,26.0,-3.3,17.0,6.0,VR ,,27.27,,,29.79,AA,,29.93,44
10821,2013,8,26,54,-5,BKN250,10.0,,65.0,18.3,59.0,15.1,55.0,12.8,70.0,6.0,210,,30.1,,,30.26,AA,,30.27,45
10529,2013,9,11,2051,-5,FEW035 BKN060 OVC110,10.0,,80.0,26.7,70.0,21.2,65.0,18.3,60.0,14.0,320,28.0,29.83,,,30.02,AA,,30.03,46
12892,2013,4,6,2353,-8,FEW200,10.0,,59.0,15.0,56.0,13.4,54.0,12.2,84.0,6.0,090,,29.62,,,29.96,AA,,29.97,47
12889,2013,8,28,456,-8,FEW160,10.0,,80.0,26.7,65.0,18.3,56.0,13.3,44.0,0.0,000,,27.59,,,29.79,AA,,29.87,48
13495,2013,4,27,2326,-6,BKN012 OVC021,6.0,BR,72.0,22.0,71.0,21.4,70.0,21.0,93.0,3.0,190,,30.05,,,,SP,,30.07,49
13244,2013,7,20,1854,-6,FEW042 SCT250,10.0,,88.0,31.1,76.0,24.5,71.0,21.7,57.0,6.0,230,,29.54,,,29.89,AA,,29.9,50
14679,2013,4,11,751,-8,FEW010 SCT250,10.0,,61.0,16.1,56.0,13.3,52.0,11.1,72.0,8.0,180,,29.94,,,29.97,AA,,29.97,51
10713,2013,8,13,353,-7,CLR,10.0,,71.0,21.7,58.0,14.6,49.0,9.4,46.0,8.0,140,,27.01,,,29.9,AA,T,29.99,52
12889,2013,5,14,156,-8,FEW250,10.0,,83.0,28.3,56.0,13.3,31.0,-0.6,15.0,8.0,200,,27.56,,,29.74,AA,,29.84,53
14679,2013,8,18,51,-8,BKN009,10.0,,64.0,17.8,61.0,16.1,59.0,15.0,84.0,5.0,290,,29.83,,,29.86,AA,,29.86,54
13204,2013,7,2,1753,-5,FEW150 BKN240 OVC300,10.0,,79.0,26.1,74.0,23.4,72.0,22.2,79.0,6.0,170,,29.98,,,30.08,AA,,30.09,55
13244,2013,9,11,154,-6,SCT250,9.0,,78.0,25.6,73.0,22.9,71.0,21.7,79.0,5.0,140,,29.76,,,30.1,AA,,30.12,56
13930,2013,10,15,1451,-6,BKN006 OVC010,4.0,BR,62.0,16.7,61.0,16.3,61.0,16.1,97.0,13.0,210,,29.06,,,29.78,AA,T,29.78,57
13931,2013,8,21,51,-5,CLR,10.0,,71.0,21.7,69.0,20.5,68.0,20.0,90.0,3.0,210,,30.16,,,30.19,AA,,30.19,58
13342,2013,8,21,1752,-6,FEW250,10.0,,85.0,29.4,72.0,22.3,66.0,18.9,53.0,11.0,220,,29.2,,,29.92,AA,,29.94,59
13930,2013,10,12,351,-6,FEW200,10.0,,55.0,12.8,52.0,11.3,50.0,10.0,83.0,7.0,160,,29.25,,,29.96,AA,,29.97,60
13930,2013,10,6,151,-6,BKN025 OVC030,9.0,-RA,58.0,14.4,54.0,12.3,51.0,10.6,78.0,14.0,270,,29.05,,,29.76,AA,T,29.77,61
14100,2013,7,16,2254,-5,FEW070,10.0,,82.0,27.8,75.0,23.6,71.0,21.7,69.0,6.0,210,,30.15,,,30.17,AA,,30.18,62
14771,2013,10,24,1956,-8,CLR,10.0,,55.0,12.8,50.0,10.2,46.0,7.8,72.0,8.0,270,,30.06,,,30.08,AA,,30.08,63
13244,2013,5,24,1054,-6,FEW250,10.0,,71.0,21.7,57.0,13.8,45.0,7.2,39.0,16.0,050,23.0,29.94,,,30.29,AA,,30.3,64
10397,2013,10,7,452,-5,BKN006 OVC027,6.0,BR,58.0,14.4,57.0,14.1,57.0,13.9,97.0,16.0,330,23.0,28.8,,,29.87,AA,0.01,29.89,65
11259,2013,10,11,1453,-6,FEW035 SCT042 BKN065,10.0,,86.0,30.0,73.0,22.8,67.0,19.4,53.0,11.0,190,17.0,29.31,,,29.81,AA,,29.83,66
10397,2013,9,8,1652,-5,SCT050 SCT250,10.0,,87.0,30.6,73.0,22.6,66.0,18.9,50.0,9.0,320,,28.88,,,29.95,AA,,29.98,67
13931,2013,8,21,2051,-5,CLR,10.0,,77.0,25.0,72.0,22.0,69.0,20.6,76.0,9.0,180,,30.1,,,30.13,AA,,30.13,68
13795,2013,4,19,215,-5,SCT080,10.0,,66.0,19.0,65.0,18.2,64.0,18.0,93.0,7.0,170,,29.91,,,,AA,,30.01,69
14027,2013,6,29,1853,-5,FEW020 BKN090 BKN200,10.0,,80.0,26.7,75.0,23.9,73.0,22.8,79.0,3.0,270,,29.86,,,29.88,AA,,29.88,70
10800,2013,9,25,629,-8,BKN012,10.0,,63.0,17.0,56.0,13.2,50.0,10.0,63.0,5.0,110,,29.05,,,,SP,,29.83,71
13342,2013,6,13,1752,-6,FEW250,10.0,,60.0,15.6,55.0,12.8,51.0,10.6,72.0,10.0,010,,29.28,,,30.02,AA,,30.02,72
